file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,155,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,12
style.css,156,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,36
style.css,157,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,7
style.css,158,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,0,0
style.css,159,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,0,17
style.css,160,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,10
style.css,161,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,16
style.css,162,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,0,0
style.css,163,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,0,17
style.css,164,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,10
style.css,165,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,1,8
style.css,166,css,f0e7d58b,tanishaiyer1,2025-10-24,00:53:03,-07:00,2025-10-24T00:53:03-07:00,0,0
style.css,167,css,0f3789e5,tanishaiyer1,2025-10-30,10:26:30,-07:00,2025-10-30T10:26:30-07:00,0,0
style.css,168,css,0f3789e5,tanishaiyer1,2025-10-30,10:26:30,-07:00,2025-10-30T10:26:30-07:00,0,18
style.css,169,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,14
style.css,170,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,14
style.css,171,css,0f3789e5,tanishaiyer1,2025-10-30,10:26:30,-07:00,2025-10-30T10:26:30-07:00,1,16
style.css,172,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,13
style.css,173,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,174,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,175,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,7
style.css,176,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,12
style.css,177,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,57
style.css,178,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,7
style.css,179,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,26
style.css,180,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,11
